SegmentID,M,Yr,D,WktGeom,street,Vol,fromSt,toSt
133440,11,2023,14,POINT (1050796.0649834706 182183.91991279385),BELT PARKWAY EXIT 21 WESTBOUND,4455,Belt Parkway,North Conduit Avenue
115413,5,2023,16,POINT (1007089.8422828304 199004.03661244072),FLUSHING AVENUE,0,Dead End,Troutman Street
9000515,1,2024,20,POINT (1041074.973834683 193690.47360957888),160 STREET,4296,Dead End,Dead end
196368,6,2023,21,POINT (1023055.8409196973 185039.53691861132),SUTTER AVENUE,5811,Dead End,North Conduit Avenue
63067,11,2023,15,POINT (1052448.1361800227 182158.9045315978),NORTH CONDUIT AVENUE,24468,143 Road,222 Street
138766,4,2023,26,POINT (1035854.6105769284 200112.1762885384),GRAND CENTRAL PARKWAY,85340,Dead End,Dead end
53435,3,2022,19,POINT (1029932.6631676898 199586.14595438848),AUSTIN STREET,2118,77 Road,77 Avenue
140473,4,2023,18,POINT (1010346.2616429372 207876.17046767005),BROOKLYN QUEENS EXPRESSWAY,66454,Dead end,Dead End
139069,4,2023,26,POINT (1035852.0563073272 200167.76815625254),GRAND CENTRAL PARKWAY,77712,Dead End,Dead end
66081,2,2022,5,POINT (1001373.9903285656 208268.20790138244),BORDEN AVENUE,5495,30 Place,30 Street
59520,2,2023,3,POINT (1047210.7050830991 187542.95138537127),171 STREET,1369,120 Avenue,Baisley Boulevard
66377,3,2024,18,POINT (1004728.103907039 207345.1502300397),BORDEN AVENUE,54592,Long Island Expwy Et 17 E-w Eb,Long Island Expwy Et 17 E-w Eb
184144,1,2022,31,POINT (1033327.794479462 198586.42062241075),VAN WYCK EXPRESSWAY EXIT 9 NB,8997,Van Wyck Expressway,Dead end
77104,7,2023,2,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,3480,Rikers Is Bridge,Dead end
62497,6,2022,22,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,70337,Hook Creek Shoreline,Dead end
136612,11,2023,18,POINT (1049634.4174811568 182344.0829986251),BELT PARKWAY SB ENTRANCE 181 ST,7982,181 Street,Belt Parkway
55963,3,2022,18,POINT (1030173.7064668698 199638.58645494783),77 ROAD,3865,Austin Street,Kew Forest Lane
76771,3,2022,5,POINT (1019202.2503306158 215017.1437395489),NORTHERN BOULEVARD,30068,94 Street,Junction Boulevard
177615,5,2022,14,POINT (1028931.8143046284 215115.26618027306),ROOSEVELT AVENUE BRIDGE,18777,Flushing Line,Flushing Line
9000874,9,2023,18,POINT (1009202.7227579828 213713.08725019929),51 STREET,5733,Dead End,Northern Boulevard
253492,1,2024,9,POINT (1018213.9448553473 207844.39374417067),BROADWAY,5194,Queens Boulevard,Queens Boulevard Line
196368,6,2023,24,POINT (1023055.8409196973 185039.53691861132),SUTTER AVENUE,5072,Dead End,North Conduit Avenue
177615,5,2022,12,POINT (1028931.8143046284 215115.26618027306),ROOSEVELT AVENUE BRIDGE,17849,Flushing Line,Flushing Line
66424,4,2022,26,POINT (1005691.9480838224 200324.61319259694),GRAND STREET BRIDGE,10787,Dead End,Grand Avenue
62497,6,2022,29,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,8296,Hook Creek Shoreline,Dead end
62497,6,2023,28,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,71630,Hook Creek Shoreline,Dead end
156596,5,2022,24,POINT (1023913.269033063 183538.80365108862),LINDEN BOULEVARD,2741,Dead End,79 Street
115413,5,2023,24,POINT (1007089.8422828304 199004.03661244072),FLUSHING AVENUE,0,Dead End,Troutman Street
189271,6,2022,26,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,9266,Borden Avenue,Dead end
65967,6,2022,19,POINT (1000731.5336691153 209191.80335594836),HUNTERS POINT BRIDGE,280,Dead End,Dutch Kills Shoreline
